anchor,layer,component,dnll_share_of_resid
final,0,attn_only,
final,0,mlp_only,
final,2,attn_only,
final,2,mlp_only,
final,4,attn_only,
final,4,mlp_only,
final,6,attn_only,
final,6,mlp_only,
final,12,attn_only,
final,12,mlp_only,
final,16,attn_only,
final,16,mlp_only,
mid,0,attn_only,1.0147908415018143
mid,0,mlp_only,0.028607347834897715
mid,2,attn_only,0.002139846248422872
mid,2,mlp_only,0.003924162546520122
mid,4,attn_only,0.001121389710934443
mid,4,mlp_only,0.0027023444007700176
mid,6,attn_only,-0.00041091257162352075
mid,6,mlp_only,0.0020458645551601224
mid,12,attn_only,0.0013419170821829427
mid,12,mlp_only,0.007150010332659612
mid,16,attn_only,0.0005833656825620628
mid,16,mlp_only,0.00405165599649229
