monitoring,brevity,domain,early_auc_mean,early_auc_lo,early_auc_hi,early_auc_n
hidden,brief,code,2.484672529704403,0.5791068985301536,3.1359321542084215,20
hidden,brief,math,2.5474683498963713,0.8256451143883169,3.1787225030362607,20
hidden,brief,qa,1.5485144370468333,0.03594551583519205,3.0654611550271507,20
hidden,one_sentence,code,2.7716874867677688,2.1723932974040507,3.343780292570591,20
hidden,one_sentence,math,2.9282535716891287,2.5372682981193067,3.3750391654670233,20
hidden,one_sentence,qa,2.0576740773394704,0.27366390330716966,3.4775044173002234,20
monitored,brief,code,2.99749017059803,2.5974642023444177,3.440247152000665,20
monitored,brief,math,3.068814519047737,2.4812188811600207,3.3863832756876944,20
monitored,brief,qa,2.135733504779637,0.3372413125820458,3.5544149160385126,20
monitored,none,code,2.9956890121102333,2.6823931515216826,3.380657798796892,20
monitored,none,math,3.100769631564617,2.6707765720784664,3.38157389909029,20
monitored,none,qa,1.6912859173491597,0.31139797512441875,3.488192062079906,20
monitored,one_sentence,code,3.013630378246307,2.6509804099798204,3.41112285554409,20
monitored,one_sentence,math,3.193628603219986,2.7769575528800488,3.5477116093039514,20
monitored,one_sentence,qa,2.181184233725071,0.3476587377488613,3.5962671041488643,20
