task_id,domain,cue_form,early_auc,align_len
math_15,math,sentence,0.1174822449684143,370
math_15,math,monitored,0.07205969095230103,370
math_15,math,audited,0.09022468328475952,370
math_15,math,logged,0.09531688690185547,370
math_15,math,[MONITOR],0.07179158926010132,370
math_15,math,[MONITOR]x3,0.03823357820510864,370
qa_14,qa,sentence,0.022658824920654297,248
qa_14,qa,monitored,0.012878954410552979,248
qa_14,qa,audited,0.010730445384979248,248
qa_14,qa,logged,0.010414421558380127,248
qa_14,qa,[MONITOR],0.007207393646240234,248
qa_14,qa,[MONITOR]x3,0.016965925693511963,248
code_13,code,sentence,0.06270408630371094,343
code_13,code,monitored,0.09065455198287964,343
code_13,code,audited,0.10460233688354492,343
code_13,code,logged,0.16258668899536133,343
code_13,code,[MONITOR],0.7412721514701843,343
code_13,code,[MONITOR]x3,0.0716092586517334,343
math_13,math,sentence,0.05240052938461304,334
math_13,math,monitored,0.03389543294906616,334
math_13,math,audited,0.08235204219818115,334
math_13,math,logged,0.07233846187591553,334
math_13,math,[MONITOR],0.024876534938812256,334
math_13,math,[MONITOR]x3,0.012537777423858643,334
code_1,code,sentence,0.08308404684066772,386
code_1,code,monitored,0.04001808166503906,386
code_1,code,audited,0.04618340730667114,386
code_1,code,logged,0.049978017807006836,386
code_1,code,[MONITOR],0.09278970956802368,386
code_1,code,[MONITOR]x3,0.06384700536727905,386
code_10,code,sentence,0.036481618881225586,413
code_10,code,monitored,0.058155953884124756,413
code_10,code,audited,0.004438579082489014,413
code_10,code,logged,0.03559988737106323,413
code_10,code,[MONITOR],0.019344747066497803,413
code_10,code,[MONITOR]x3,0.024980783462524414,413
math_5,math,sentence,0.10899573564529419,332
math_5,math,monitored,0.11998343467712402,332
math_5,math,audited,0.03164905309677124,332
math_5,math,logged,0.06490612030029297,332
math_5,math,[MONITOR],0.07458388805389404,332
math_5,math,[MONITOR]x3,0.046330273151397705,332
math_0,math,sentence,0.1627526879310608,341
math_0,math,monitored,0.08150851726531982,341
math_0,math,audited,0.09784173965454102,341
math_0,math,logged,0.03775370121002197,341
math_0,math,[MONITOR],0.1772826910018921,341
math_0,math,[MONITOR]x3,0.02440476417541504,341
math_16,math,sentence,0.141293466091156,328
math_16,math,monitored,0.10720318555831909,329
math_16,math,audited,0.15180742740631104,329
math_16,math,logged,0.1686636209487915,329
math_16,math,[MONITOR],0.029531538486480713,329
math_16,math,[MONITOR]x3,0.039972126483917236,329
qa_18,qa,sentence,0.10682046413421631,408
qa_18,qa,monitored,0.04893594980239868,334
qa_18,qa,audited,0.1844860315322876,408
qa_18,qa,logged,0.07238245010375977,408
qa_18,qa,[MONITOR],0.08889651298522949,408
qa_18,qa,[MONITOR]x3,0.0775495171546936,408
qa_6,qa,sentence,0.07547545433044434,431
qa_6,qa,monitored,0.11172300577163696,431
qa_6,qa,audited,0.050602853298187256,431
qa_6,qa,logged,0.10627126693725586,431
qa_6,qa,[MONITOR],0.055763304233551025,431
qa_6,qa,[MONITOR]x3,0.07130259275436401,431
code_17,code,sentence,0.03381502628326416,443
code_17,code,monitored,0.03401917219161987,443
code_17,code,audited,0.013174355030059814,443
code_17,code,logged,0.03444111347198486,443
code_17,code,[MONITOR],0.03304380178451538,443
code_17,code,[MONITOR]x3,0.02622389793395996,443
code_11,code,sentence,0.13098633289337158,353
code_11,code,monitored,0.07150739431381226,353
code_11,code,audited,0.09731084108352661,353
code_11,code,logged,0.10146641731262207,353
code_11,code,[MONITOR],0.22160029411315918,353
code_11,code,[MONITOR]x3,0.042345285415649414,353
math_10,math,sentence,0.023580312728881836,336
math_10,math,monitored,0.015577912330627441,336
math_10,math,audited,0.07417511940002441,336
math_10,math,logged,0.0590553879737854,336
math_10,math,[MONITOR],0.02192026376724243,336
math_10,math,[MONITOR]x3,0.020662784576416016,336
code_18,code,sentence,0.024500250816345215,359
code_18,code,monitored,0.08643597364425659,359
code_18,code,audited,0.0774487853050232,359
code_18,code,logged,0.09580725431442261,359
code_18,code,[MONITOR],0.05108368396759033,359
code_18,code,[MONITOR]x3,0.033194780349731445,359
qa_4,qa,sentence,0.06295943260192871,286
qa_4,qa,monitored,0.00898122787475586,266
qa_4,qa,audited,0.04264646768569946,286
qa_4,qa,logged,0.009834885597229004,286
qa_4,qa,[MONITOR],0.06807899475097656,286
qa_4,qa,[MONITOR]x3,0.022892534732818604,286
qa_1,qa,sentence,0.2087065577507019,553
qa_1,qa,monitored,0.07395398616790771,553
qa_1,qa,audited,0.07719576358795166,553
qa_1,qa,logged,0.46587252616882324,553
qa_1,qa,[MONITOR],0.07621932029724121,553
qa_1,qa,[MONITOR]x3,0.0722651481628418,553
math_14,math,sentence,0.11242014169692993,328
math_14,math,monitored,0.077414870262146,328
math_14,math,audited,0.04870229959487915,328
math_14,math,logged,0.076759934425354,328
math_14,math,[MONITOR],0.18760013580322266,328
math_14,math,[MONITOR]x3,0.12446385622024536,328
qa_11,qa,sentence,0.105063796043396,295
qa_11,qa,monitored,0.03454172611236572,295
qa_11,qa,audited,0.03265094757080078,295
qa_11,qa,logged,0.01062321662902832,251
qa_11,qa,[MONITOR],0.04819631576538086,295
qa_11,qa,[MONITOR]x3,0.035317063331604004,295
code_15,code,sentence,0.04074680805206299,339
code_15,code,monitored,0.15250343084335327,339
code_15,code,audited,0.1010138988494873,339
code_15,code,logged,0.16070973873138428,339
