task_id,domain,cue_form,layer,div,align_len
math_15,math,sentence,0,0.025188803672790527,370
math_15,math,sentence,1,0.01865321397781372,370
math_15,math,sentence,2,0.014486074447631836,370
math_15,math,sentence,3,0.018502771854400635,370
math_15,math,sentence,4,0.022213220596313477,370
math_15,math,sentence,5,0.01843816041946411,370
math_15,math,sentence,6,0.0163114070892334,370
math_15,math,sentence,7,0.017955005168914795,370
math_15,math,sentence,8,0.016476035118103027,370
math_15,math,sentence,9,0.017916738986968994,370
math_15,math,sentence,10,0.01801776885986328,370
math_15,math,sentence,11,0.018101811408996582,370
math_15,math,sentence,12,0.01736009120941162,370
math_15,math,sentence,13,0.019344806671142578,370
math_15,math,sentence,14,0.020582914352416992,370
math_15,math,sentence,15,0.0201529860496521,370
math_15,math,sentence,16,0.01963496208190918,370
math_15,math,sentence,17,0.02005589008331299,370
math_15,math,sentence,18,0.01945507526397705,370
math_15,math,sentence,19,0.02226102352142334,370
math_15,math,sentence,20,0.024667978286743164,370
math_15,math,sentence,21,0.018293142318725586,370
math_15,math,sentence,22,0.019717752933502197,370
math_15,math,sentence,23,0.01777017116546631,370
math_15,math,sentence,24,0.014169096946716309,370
math_15,math,sentence,25,0.014330148696899414,370
math_15,math,sentence,26,0.012380778789520264,370
math_15,math,sentence,27,0.023240208625793457,370
math_15,math,monitored,0,0.012514948844909668,370
math_15,math,monitored,1,0.011041581630706787,370
math_15,math,monitored,2,0.009043097496032715,370
math_15,math,monitored,3,0.01181650161743164,370
math_15,math,monitored,4,0.014733970165252686,370
math_15,math,monitored,5,0.01290959119796753,370
math_15,math,monitored,6,0.010795652866363525,370
math_15,math,monitored,7,0.013332605361938477,370
math_15,math,monitored,8,0.012723922729492188,370
math_15,math,monitored,9,0.014583826065063477,370
math_15,math,monitored,10,0.014002621173858643,370
math_15,math,monitored,11,0.013412773609161377,370
math_15,math,monitored,12,0.012592792510986328,370
math_15,math,monitored,13,0.014540374279022217,370
math_15,math,monitored,14,0.015826821327209473,370
math_15,math,monitored,15,0.0177573561668396,370
math_15,math,monitored,16,0.016558408737182617,370
math_15,math,monitored,17,0.01644688844680786,370
math_15,math,monitored,18,0.015780985355377197,370
math_15,math,monitored,19,0.0173567533493042,370
math_15,math,monitored,20,0.017828941345214844,370
math_15,math,monitored,21,0.012068986892700195,370
math_15,math,monitored,22,0.01277250051498413,370
math_15,math,monitored,23,0.01133573055267334,370
math_15,math,monitored,24,0.008575439453125,370
math_15,math,monitored,25,0.008913695812225342,370
math_15,math,monitored,26,0.008101940155029297,370
math_15,math,monitored,27,0.010828256607055664,370
math_15,math,audited,0,0.014211475849151611,370
math_15,math,audited,1,0.012732267379760742,370
math_15,math,audited,2,0.010461628437042236,370
math_15,math,audited,3,0.01590561866760254,370
math_15,math,audited,4,0.019012928009033203,370
math_15,math,audited,5,0.01790076494216919,370
math_15,math,audited,6,0.01473778486251831,370
math_15,math,audited,7,0.016800642013549805,370
math_15,math,audited,8,0.016139447689056396,370
math_15,math,audited,9,0.016987085342407227,370
math_15,math,audited,10,0.016553223133087158,370
math_15,math,audited,11,0.017372965812683105,370
math_15,math,audited,12,0.017175912857055664,370
math_15,math,audited,13,0.018270254135131836,370
math_15,math,audited,14,0.01917850971221924,370
math_15,math,audited,15,0.021415889263153076,370
math_15,math,audited,16,0.021846890449523926,370
math_15,math,audited,17,0.028078794479370117,370
math_15,math,audited,18,0.026699364185333252,370
math_15,math,audited,19,0.028469622135162354,370
math_15,math,audited,20,0.028567075729370117,370
math_15,math,audited,21,0.02388918399810791,370
math_15,math,audited,22,0.0215226411819458,370
math_15,math,audited,23,0.018384456634521484,370
math_15,math,audited,24,0.01378101110458374,370
math_15,math,audited,25,0.01519763469696045,370
