task_id,domain,anchor,layer,window,alpha,component,final_kl,final_flip,delta_nll_suffix,metric,value
math_15,math,mid,0,1,0.25,resid,-2.125998292967779e-07,0.0,0.0009722411632537842,,
math_15,math,mid,0,1,0.5,resid,-2.7234153776589665e-07,0.0,0.0016328096389770508,,
math_15,math,mid,0,1,0.75,resid,2.3768031098825304e-07,0.0,0.0066149234771728516,,
math_15,math,mid,0,1,1.0,resid,5.188994123273005e-08,0.0,0.008976995944976807,,
math_15,math,mid,0,3,0.25,resid,2.3280038874418096e-07,0.0,0.004034161567687988,,
math_15,math,mid,0,3,0.5,resid,8.640080295663211e-07,0.0,0.020120829343795776,,
math_15,math,mid,0,3,0.75,resid,5.4280212680168916e-06,0.0,0.12318608164787292,,
math_15,math,mid,0,3,1.0,resid,5.068694463261636e-06,0.0,0.1522022783756256,,
math_15,math,mid,0,5,0.25,resid,1.7449590217211153e-08,0.0,0.00444185733795166,,
math_15,math,mid,0,5,0.5,resid,2.3510185656050453e-06,0.0,0.07315096259117126,,
math_15,math,mid,0,5,0.75,resid,6.396803200914292e-06,0.0,0.21950653195381165,,
math_15,math,mid,0,5,1.0,resid,7.934107998153195e-06,0.0,0.24743378162384033,,
math_15,math,mid,2,1,0.25,resid,1.4751866395101842e-08,0.0,0.0010972321033477783,,
math_15,math,mid,2,1,0.5,resid,-1.2939636917508324e-07,0.0,0.0026077628135681152,,
math_15,math,mid,2,1,0.75,resid,2.5399626224498206e-07,0.0,0.009185254573822021,,
math_15,math,mid,2,1,1.0,resid,-6.828018683791015e-08,0.0,0.00812181830406189,,
math_15,math,mid,2,3,0.25,resid,-7.779902233551184e-08,0.0,0.00360986590385437,,
math_15,math,mid,2,3,0.5,resid,2.828942591293071e-08,0.0,0.011987030506134033,,
math_15,math,mid,2,3,0.75,resid,4.290690867492231e-06,0.0,0.14084720611572266,,
math_15,math,mid,2,3,1.0,resid,2.8164376999484375e-06,0.0,0.15259996056556702,,
math_15,math,mid,2,5,0.25,resid,3.259816026002227e-07,0.0,0.004479736089706421,,
math_15,math,mid,2,5,0.5,resid,8.019375741241674e-07,0.0,0.05840757489204407,,
math_15,math,mid,2,5,0.75,resid,3.6126580198470037e-06,0.0,0.20671463012695312,,
math_15,math,mid,2,5,1.0,resid,1.4711047242599307e-06,0.0,0.22096610069274902,,
math_15,math,mid,4,1,0.25,resid,7.707014049174177e-08,0.0,0.0006573796272277832,,
math_15,math,mid,4,1,0.5,resid,-6.757267101420439e-08,0.0,0.0017091929912567139,,
math_15,math,mid,4,1,0.75,resid,-2.5339536691149078e-08,0.0,0.0028375983238220215,,
math_15,math,mid,4,1,1.0,resid,-1.694185414180538e-07,0.0,0.006346762180328369,,
math_15,math,mid,4,3,0.25,resid,-3.0535364459183256e-08,0.0,0.002240985631942749,,
math_15,math,mid,4,3,0.5,resid,4.962156481269631e-07,0.0,0.005713015794754028,,
math_15,math,mid,4,3,0.75,resid,1.7105036249631667e-06,0.0,0.11616209149360657,,
math_15,math,mid,4,3,1.0,resid,2.136635202987236e-06,0.0,0.14952421188354492,,
math_15,math,mid,4,5,0.25,resid,-8.085768854471098e-08,0.0,0.0031861960887908936,,
math_15,math,mid,4,5,0.5,resid,3.9281368913179904e-07,0.0,0.06522658467292786,,
math_15,math,mid,4,5,0.75,resid,3.2011428174882894e-06,0.0,0.19006025791168213,,
math_15,math,mid,4,5,1.0,resid,2.8563006253534695e-06,0.0,0.22066685557365417,,
math_15,math,mid,6,1,0.25,resid,-8.464539291708206e-08,0.0,0.0003975331783294678,,
math_15,math,mid,6,1,0.5,resid,-2.650724582053954e-07,0.0,0.000920027494430542,,
math_15,math,mid,6,1,0.75,resid,-1.0389681648348414e-07,0.0,0.003444850444793701,,
math_15,math,mid,6,1,1.0,resid,-2.8290123577079385e-09,0.0,0.008193403482437134,,
math_15,math,mid,6,3,0.25,resid,7.322174866430942e-08,0.0,0.002990543842315674,,
math_15,math,mid,6,3,0.5,resid,-7.147330194356982e-08,0.0,0.007447332143783569,,
math_15,math,mid,6,3,0.75,resid,9.31906106416136e-06,0.0,0.09090745449066162,,
math_15,math,mid,6,3,1.0,resid,1.76386788552918e-06,0.0,0.12986963987350464,,
math_15,math,mid,6,5,0.25,resid,-9.996899308362117e-08,0.0,0.0035198628902435303,,
math_15,math,mid,6,5,0.5,resid,3.387058811199495e-08,0.0,0.0792517364025116,,
